Sample_Idx,True_Label,Pred_Label,Confidence,True_Prob,Margin,Center_X,Center_Y,Shift_Dx,Shift_Dy,Laplacian_Var,Risk_Category
1811,1,7,0.2312,0.0857,0.1455,15.65,16.51,0.35,0.51,711.59,CONFUSION
2133,2,4,0.2305,0.0858,0.1447,15.3,15.9,0.7,0.1,566.9,CONFUSION
1699,1,7,0.2304,0.0861,0.1443,15.76,16.05,0.24,0.05,1490.71,CONFUSION
795,0,6,0.2304,0.0858,0.1447,16.12,15.43,0.12,0.57,592.76,CONFUSION
1658,1,7,0.2297,0.0865,0.1432,15.65,15.69,0.35,0.31,327.89,CONFUSION
2023,2,3,0.2297,0.0855,0.1442,14.35,15.73,1.65,0.27,281.48,CONFUSION
137,0,6,0.2289,0.0865,0.1424,16.55,15.25,0.55,0.75,543.35,CONFUSION
2942,6,5,0.2282,0.087,0.1412,15.7,15.14,0.3,0.86,205.67,CONFUSION
343,0,7,0.2281,0.0856,0.1425,15.73,15.88,0.27,0.12,392.33,CONFUSION
2206,2,3,0.2274,0.086,0.1414,15.59,15.69,0.41,0.31,705.61,CONFUSION
2602,4,3,0.2274,0.0873,0.1401,15.07,15.23,0.93,0.77,749.07,CONFUSION
262,0,7,0.2266,0.0877,0.1389,15.43,15.47,0.57,0.53,936.46,CONFUSION
1942,1,7,0.2266,0.087,0.1396,15.15,15.8,0.85,0.2,2656.81,CONFUSION
1653,1,7,0.2258,0.0881,0.1377,15.61,16.17,0.39,0.17,249.0,CONFUSION
1810,1,7,0.2258,0.0881,0.1377,15.43,15.44,0.57,0.56,57.09,CONFUSION
1685,1,7,0.2258,0.0881,0.1377,15.55,15.5,0.45,0.5,175.38,CONFUSION
2944,6,5,0.2252,0.0885,0.1366,15.45,15.64,0.55,0.36,620.25,CONFUSION
1563,1,7,0.2251,0.0885,0.1366,15.61,15.81,0.39,0.19,1006.22,CONFUSION
1106,0,6,0.2251,0.0885,0.1366,16.01,15.6,0.01,0.4,485.0,CONFUSION
1356,0,7,0.2244,0.0858,0.1386,15.58,15.36,0.42,0.64,1392.96,CONFUSION
3335,8,5,0.2236,0.0865,0.137,15.28,15.38,0.72,0.62,978.35,CONFUSION
1661,1,7,0.2236,0.0879,0.1357,15.44,15.56,0.56,0.44,234.45,CONFUSION
2788,5,3,0.2236,0.0869,0.1367,15.54,15.77,0.46,0.23,741.47,CONFUSION
1255,0,1,0.2235,0.0882,0.1353,15.09,15.79,0.91,0.21,401.52,CONFUSION
1118,0,6,0.2229,0.089,0.1339,16.78,14.94,0.78,1.06,1012.18,CONFUSION
233,0,6,0.2221,0.0863,0.1358,16.02,15.28,0.02,0.72,800.81,CONFUSION
1702,1,7,0.222,0.0904,0.1316,15.47,16.18,0.53,0.18,288.16,CONFUSION
2673,4,7,0.2214,0.0867,0.1347,14.41,15.65,1.59,0.35,188.48,CONFUSION
